Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P04264|K2C1_HUMAN;CON__P04264	sp|P04264|K2C1_HUMAN;CON__P04264	3;3	1;1	1;1	sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6;	2	3	1	1	3.3	1.7	1.7	66.038	644	644;644	0.0012804	9.6224	658410000	3			+	10	10389;13809;20498	True;False;False	10536;14028;20827	12600;12601;16702;16703;24774	14177;14178;14179;18751;18752;27802	14177;18752;27802		
CON__P05784	CON__P05784	15	2	2		1	15	2	2	28.8	7.6	7.6	47.538	423	423	0	12.128	371860000	3			+	11	4728;8923;9191;10293;10477;10651;12034;12035;14555;16420;19216;19217;19234;20537;20709	True;False;False;False;False;False;False;False;False;False;False;False;False;False;True	4787;9052;9326;10439;10626;10801;12202;12203;12204;14791;16677;19528;19529;19546;20866;21040	5624;10753;11080;12492;12705;12909;12910;14571;14572;14573;14574;14575;17571;17572;19798;23237;23238;23239;23240;23241;23262;23263;24819;25027;25028	6327;12130;12506;14062;14293;14529;14530;16407;16408;16409;16410;16411;19710;19711;22198;26070;26071;26072;26073;26074;26075;26096;26097;27851;28082;28083	6327;12130;12506;14062;14293;14529;16409;16411;19710;22198;26070;26075;26097;27851;28082	4	206
sp|P05787|K2C8_HUMAN;CON__P05787;sp|P05787-2|K2C8_HUMAN;tr|F8VUG2|F8VUG2_HUMAN;tr|F8W1U3|F8W1U3_HUMAN;CON__H-INV:HIT000292931;tr|F8VRG4|F8VRG4_HUMAN;tr|F8VP67|F8VP67_HUMAN;CON__Q9H552;tr|F8VQY3|F8VQY3_HUMAN;CON__Q8BGZ7;sp|P48668|K2C6C_HUMAN;sp|P04259|K2C6B_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538;CON__Q922U2;CON__Q5XQN5;tr|F8W0C6|F8W0C6_HUMAN;CON__Q8VED5;sp|O95678|K2C75_HUMAN;CON__O95678;CON__P50446;sp|P13647|K2C5_HUMAN;CON__P13647;tr|H0YIB2|H0YIB2_HUMAN;CON__H-INV:HIT000016045;CON__Q6IFZ6;sp|Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0;sp|P12035|K2C3_HUMAN;tr|J3QST3|J3QST3_HUMAN;CON__P12035;sp|Q01546|K22O_HUMAN;CON__Q01546;CON__REFSEQ:XP_092267;tr|B0YJC4|B0YJC4_HUMAN;sp|P08670|VIME_HUMAN;CON__P07744;CON__Q6NXH9;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794;sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;CON__Q3TTY5;tr|H7C5W5|H7C5W5_HUMAN;tr|B0YJC5|B0YJC5_HUMAN;tr|K7EJU1|K7EJU1_HUMAN;sp|Q86Y46-2|K2C73_HUMAN;sp|P14136-3|GFAP_HUMAN;sp|P14136|GFAP_HUMAN;sp|P14136-2|GFAP_HUMAN;sp|P41219|PERI_HUMAN;sp|P17661|DESM_HUMAN;sp|P41219-2|PERI_HUMAN;sp|Q3SY84|K2C71_HUMAN;CON__Q3SY84;CON__Q9R0H5;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7;sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;tr|F8W1S1|F8W1S1_HUMAN;tr|H0YHD9|H0YHD9_HUMAN;tr|U3KPR1|U3KPR1_HUMAN;tr|B4DIR1|B4DIR1_HUMAN;tr|K7ELP4|K7ELP4_HUMAN;tr|H0YIN9|H0YIN9_HUMAN;tr|F8VS61|F8VS61_HUMAN;tr|K7EKH9|K7EKH9_HUMAN;tr|F5GY66|F5GY66_HUMAN;sp|Q8N1N4-2|K2C78_HUMAN;CON__Q61726;sp|O43790|KRT86_HUMAN;CON__O43790;sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|Q14533|KRT81_HUMAN;CON__Q14533;sp|P78386|KRT85_HUMAN;CON__P78386;sp|Q8N1N4|K2C78_HUMAN;CON__Q8N1N4-2;CON__Q7RTT2;CON__ENSEMBL:ENSBTAP00000038253	sp|P05787|K2C8_HUMAN;CON__P05787;sp|P05787-2|K2C8_HUMAN;tr|F8VUG2|F8VUG2_HUMAN	49;49;49;27;23;19;15;13;11;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	49;49;49;27;23;19;15;13;11;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	41;41;41;22;18;17;12;11;8;6;2;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7;;sp|P05787-2|K2C8_HUMAN Isoform 2 of Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8;tr|F8VUG2|F8VUG2_HUMAN Keratin, type II cytoskeletal 8 (Fragment) OS=Homo sa	89	49	49	41	79.1	79.1	71.4	53.704	483	483;483;511;273;289;443;177;113;499;180;551;564;564;564;564;564;564;580;601;178;531;551;551;553;590;590;83;99;572;600;600;600;628;629;629;638;638;213;431;466;525;539;578;578;639;639;645;707;200;228;248;381;431;432;438;470;470;471;523;523;524;529;529;540;540;543;143;143;179;189;196;248;261;345;410;479;486;486;493;493;493;505;505;507;507;520;521;521;606	0	323.31	109500000000	103			+	12	367;1502;1585;1586;1587;3204;3205;4300;4935;5003;5004;5390;6088;6269;7357;9039;9857;9858;10388;10653;10709;10764;11334;11462;11463;11952;11953;12169;12595;13809;14916;15003;15004;16392;16627;16628;16782;16783;17125;17349;17359;17360;17717;18046;19006;19864;20357;20498;20509	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	370;1523;1607;1608;1609;3250;3251;4355;4999;5000;5070;5071;5465;6176;6360;6361;7461;9169;10000;10001;10535;10803;10860;10915;10916;10917;11493;11622;11623;12120;12121;12339;12768;14028;15154;15241;15242;16648;16649;16888;16889;16890;16891;17047;17048;17049;17396;17623;17624;17634;17635;17636;17998;17999;18336;19315;20183;20684;20827;20838	426;1783;1884;1885;1886;1887;1888;3802;3803;3804;5118;5119;5860;5861;5946;5947;5948;5949;6431;7249;7250;7480;7481;8817;10895;11939;11940;11941;11942;12597;12598;12599;12912;12978;13040;13041;13042;13043;13044;13045;13046;13738;13739;13897;13898;14469;14470;14471;14735;15234;16702;16703;18009;18103;18104;19767;19768;19769;20047;20048;20049;20050;20051;20052;20230;20231;20232;20233;20234;20235;20636;20909;20910;20924;20925;20926;20927;21374;21375;21376;21783;22965;24006;24611;24774;24786	474;2021;2136;2137;2138;2139;2140;2141;4299;4300;4301;5768;5769;5770;6585;6586;6587;6679;6680;6681;6682;6683;6684;6685;7220;7221;8136;8137;8394;8395;9934;12289;13448;13449;13450;13451;13452;14173;14174;14175;14176;14532;14606;14672;14673;14674;14675;14676;14677;14678;14679;15472;15473;15654;15655;16296;16297;16298;16299;16586;16587;17136;17137;17138;18751;18752;20187;20291;20292;20293;20294;22166;22167;22168;22169;22473;22474;22475;22476;22477;22478;22683;22684;22685;22686;22687;22688;23138;23139;23459;23460;23474;23475;23476;23477;23979;23980;23981;23982;23983;24428;25779;26926;27628;27629;27802;27814;27815	474;2021;2137;2139;2140;4299;4300;5768;6587;6680;6683;7221;8136;8395;9934;12289;13449;13451;14173;14532;14606;14675;15472;15654;15655;16297;16299;16587;17137;18752;20187;20292;20294;22168;22475;22478;22685;22687;23139;23459;23474;23477;23980;24428;25779;26926;27629;27802;27814	5;6;7;8;9;10;11;12;13;14	60;136;139;189;256;281;310;378;406;409
CON__P06868	CON__P06868	4	4	4		1	4	4	4	4.9	4.9	4.9	91.215	812	812	0	22.106	93167000	4			+	13	5681;13591;16975;20253	True;True;True;True	5761;13810;17243;20576	6769;16445;20453;24475	7594;18468;22934;27461	7594;18468;22934;27461		
tr|H0Y8D1|H0Y8D1_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477;tr|E7EQ64|E7EQ64_HUMAN	tr|H0Y8D1|H0Y8D1_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477;tr|E7EQ64|E7EQ64_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|H0Y8D1|H0Y8D1_HUMAN Trypsin-1 (Fragment) OS=Homo sapiens GN=PRSS1 PE=3 SV=1;sp|P07477|TRY1_HUMAN Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1;;tr|E7EQ64|E7EQ64_HUMAN Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=3 SV=1	4	1	1	1	7	7	7	15.421	142	142;247;247;261	0.0019486	6.7616	415270000	1			+	14	17819	True	18105	21499	24113	24113		
sp|P08727|K1C19_HUMAN;CON__P08727;tr|K7EMS3|K7EMS3_HUMAN;tr|C9JM50|C9JM50_HUMAN;CON__P19001;CON__Q9QWL7;CON__A2A4G1;sp|Q04695|K1C17_HUMAN;CON__Q04695;sp|P02533|K1C14_HUMAN;CON__P02533;sp|P08779|K1C16_HUMAN;CON__P08779;CON__Q6IFX2;sp|P19012|K1C15_HUMAN;CON__P19012;tr|K7EPJ9|K7EPJ9_HUMAN;tr|K7ERE3|K7ERE3_HUMAN;sp|P13646-3|K1C13_HUMAN;CON__ENSEMBL:ENSP00000377550;sp|P13646|K1C13_HUMAN;tr|B3KRA2|B3KRA2_HUMAN;tr|A8MT21|A8MT21_HUMAN;sp|P13646-2|K1C13_HUMAN;CON__P13646-1;tr|C9JTG5|C9JTG5_HUMAN;CON__Q9Z2K1;CON__Q3ZAW8;sp|Q99456|K1C12_HUMAN;CON__Q99456;sp|P13645|K1C10_HUMAN;CON__P13645;tr|K7ELP7|K7ELP7_HUMAN;CON__Q61782;tr|K7ESE1|K7ESE1_HUMAN;sp|Q8N1A0-2|KT222_HUMAN;sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0;sp|P35900|K1C20_HUMAN;CON__P35900;CON__Q9D312;sp|P35527|K1C9_HUMAN;CON__P35527	sp|P08727|K1C19_HUMAN;CON__P08727;tr|K7EMS3|K7EMS3_HUMAN	40;40;20;18;12;9;8;7;7;7;7;6;6;5;5;5;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1	40;40;20;18;12;9;8;7;7;7;7;6;6;5;5;5;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1	30;30;15;11;3;2;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4;;tr|K7EMS3|K7EMS3_HUMAN Keratin, type I cytoskeletal 19 (Fragment) OS=Homo sapiens GN=KRT19 PE=1 SV=1	43	40	40	30	83.8	83.8	69.2	44.105	400	400;400;181;196;403;433;456;432;432;472;472;473;473;452;456;456;231;415;420;420;458;251;291;355;458;220;469;474;494;494;584;593;49;93;95;255;295;295;424;424;431;623;623	0	323.31	75862000000	109			+	15	114;982;1379;2304;2740;3336;3337;3646;4760;5178;5179;5225;6850;7092;8568;8919;9191;9390;9935;10293;10477;10750;12395;13315;13693;15052;15173;15662;15690;16015;16467;16780;16781;16787;17300;17301;17302;17700;17839;19271	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	114;996;1399;2337;2779;3382;3383;3694;4821;4822;5249;5250;5298;6948;7194;8687;9048;9326;9527;10078;10439;10626;10901;12566;13525;13912;15291;15413;15908;15909;15937;16268;16724;17044;17045;17046;17053;17573;17574;17575;17576;17981;18125;18126;19583	127;1151;1152;1153;1154;1646;2729;3247;3965;3966;3967;3968;4346;5660;5661;5662;6155;6156;6157;6158;6159;6160;6215;8208;8490;10328;10748;11080;11318;11319;12035;12036;12492;12705;13025;14995;16110;16111;16562;16563;18157;18290;18891;18892;18893;18927;19303;19858;19859;20226;20227;20228;20229;20239;20240;20851;20852;20853;20854;20855;20856;20857;21353;21354;21521;21522;21523;21524;21525;21526;21527;21528;21529;21530;21531;21532;21533;21534;21535;21536;21537;23303	138;139;1283;1284;1285;1286;1287;1288;1852;3073;3074;3673;4483;4484;4485;4486;4898;6366;6367;6368;6369;6910;6911;6912;6913;6914;6915;6916;6917;6976;9229;9230;9231;9541;11664;12123;12506;12766;12767;13551;13552;14062;14293;14655;14656;16869;18092;18093;18596;18597;20350;20492;20493;20494;21176;21177;21178;21179;21215;21634;22267;22268;22269;22270;22678;22679;22680;22681;22682;22692;22693;23387;23388;23389;23390;23391;23392;23393;23394;23956;23957;24135;24136;24137;24138;24139;24140;24141;24142;24143;24144;24145;24146;24147;24148;24149;24150;24151;24152;24153;24154;24155;24156;24157;24158;24159;24160;24161;24162;26141	139;1284;1852;3074;3673;4484;4486;4898;6367;6910;6917;6976;9229;9541;11664;12123;12506;12766;13552;14062;14293;14655;16869;18093;18596;20350;20493;21179;21215;21634;22269;22680;22682;22692;23387;23388;23390;23956;24136;26141	15;16;17;18	202;259;291;316
CON__P08729;sp|Q14CN4-3|K2C72_HUMAN;sp|Q14CN4-2|K2C72_HUMAN;sp|Q14CN4|K2C72_HUMAN;CON__Q14CN4-1;CON__Q6IME9;sp|Q5XKE5|K2C79_HUMAN;CON__Q5XKE5;tr|F5H8K9|F5H8K9_HUMAN;sp|P19013|K2C4_HUMAN;CON__P19013;tr|B4DXK4|B4DXK4_HUMAN	CON__P08729	35;4;4;4;4;4;4;4;3;3;3;2	29;2;2;2;2;2;1;1;1;1;1;2	2;0;0;0;0;0;0;0;0;0;0;0		12	35	29	2	58.2	50.5	2.1	51.417	469	469;469;510;511;511;520;535;535;500;534;594;323	0	228.93	11817000000	36			+	16	365;909;925;1503;4861;4862;4936;5003;5004;5126;5390;6822;9857;10388;10547;10646;11462;11876;11951;12260;12261;13569;13810;14406;14407;14651;15807;16265;16387;17134;17135;18617;19774;20372;20499	True;True;True;True;True;True;True;False;False;True;False;True;False;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	368;923;939;1524;1525;4924;4925;5001;5070;5071;5197;5465;6919;10000;10535;10697;10796;11622;12043;12119;12431;12432;13788;14029;14640;14641;14887;16055;16520;16643;17405;17406;18921;20092;20699;20828	424;1070;1071;1089;1090;1784;1785;5778;5779;5862;5946;5947;5948;5949;6091;6431;8177;11939;11940;12597;12598;12599;12789;12904;13897;14383;14468;14836;14837;14838;16420;16704;16705;17401;17402;17403;17688;19057;19603;19762;20646;20647;20648;22492;23893;23894;24627;24775	472;1196;1197;1217;1218;2022;2023;6496;6497;6588;6679;6680;6681;6682;6683;6684;6685;6840;7220;7221;9196;13448;13449;13450;14173;14174;14175;14176;14402;14524;15654;16201;16295;16700;16701;16702;18438;18753;18754;19514;19515;19516;19835;21363;21364;21983;22160;22161;23151;23152;23153;25242;26796;26797;27645;27803	472;1196;1217;2023;6496;6497;6588;6680;6683;6840;7221;9196;13449;14173;14402;14524;15654;16201;16295;16700;16701;18438;18753;19514;19516;19835;21364;21983;22161;23151;23153;25242;26797;27645;27803	19	271
CON__P08730-1	CON__P08730-1	6	1	1		1	6	1	1	11.9	2.7	2.7	47.754	437	437	1	-2	2912500000	1	+		+	17	981;10293;10477;10750;15662;17839	True;False;False;False;False;False	995;10439;10626;10901;15908;15909;18125;18126	1150;12492;12705;13025;18891;18892;18893;21521;21522;21523;21524;21525;21526;21527;21528;21529;21530;21531;21532;21533;21534;21535;21536;21537	1282;14062;14293;14655;14656;21176;21177;21178;21179;24135;24136;24137;24138;24139;24140;24141;24142;24143;24144;24145;24146;24147;24148;24149;24150;24151;24152;24153;24154;24155;24156;24157;24158;24159;24160;24161;24162	1282;14062;14293;14655;21179;24136	16	333
CON__P12763;sp|P02765|FETUA_HUMAN;tr|C9JV77|C9JV77_HUMAN	CON__P12763	13;3;1	13;3;1	13;3;1		3	13	13	13	51	51	51	38.418	359	359;367;368	0	217.53	42444000000	87			+	18	1026;1437;2047;2048;2177;4463;4869;7739;7749;14610;15132;17991;20050	True;True;True;True;True;True;True;True;True;True;True;True;True	1041;1457;2074;2075;2207;4518;4932;7850;7861;14846;15371;18281;20370	1206;1710;1711;2418;2419;2420;2577;5307;5788;9309;9310;9311;9312;9313;9314;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9325;9326;9327;9328;9329;9330;9345;9346;17641;17642;18243;18244;21721;24229;24230;24231;24232	1352;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;2727;2728;2729;2905;2906;5982;6506;10497;10498;10499;10500;10501;10502;10503;10504;10505;10506;10507;10508;10509;10510;10511;10512;10513;10514;10515;10516;10517;10518;10519;10520;10521;10522;10523;10524;10525;10526;10527;10528;10529;10530;10531;10532;10533;10534;10535;10536;10553;10554;10555;19783;19784;19785;19786;20439;20440;20441;20442;24359;24360;27171;27172;27173;27174;27175;27176;27177;27178;27179;27180;27181;27182	1352;1924;2727;2729;2905;5982;6506;10504;10554;19783;20442;24360;27171		
CON__P15497;tr|F8W696|F8W696_HUMAN;sp|P02647|APOA1_HUMAN	CON__P15497	14;1;1	14;1;1	14;1;1		3	14	14	14	52.1	52.1	52.1	30.276	265	265;245;267	0	103.7	1864900000	16			+	19	2457;3343;3803;4528;4529;10245;11424;12242;14755;15097;19193;19742;19821;19822	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2493;3389;3854;4584;4585;10389;11583;12413;14992;15336;19505;20060;20139;20140	2911;3974;4524;4525;5386;5387;12428;13852;14818;17813;18207;23203;23204;23856;23951;23952;23953	3298;4493;5110;5111;6073;6074;6075;13989;15606;16681;19978;20403;26036;26037;26756;26865;26866;26867	3298;4493;5110;6074;6075;13989;15606;16681;19978;20403;26037;26756;26865;26866		
CON__P17690	CON__P17690	2	2	2		1	2	2	2	11	11	11	38.252	345	345	0	14.524	116990000	3			+	20	17262;20359	True;True	17535;20686	20802;20803;24613	23334;23335;27631	23335;27631		
CON__P17697	CON__P17697	2	2	2		1	2	2	2	5	5	5	51.113	439	439	0	12.974	101730000	2			+	21	1627;18053	True;True	1650;18343	1932;21791	2186;24437	2186;24437		
CON__P28800;tr|C9JMH6|C9JMH6_HUMAN;sp|P08697-2|A2AP_HUMAN;sp|P08697|A2AP_HUMAN	CON__P28800	5;1;1;1	5;1;1;1	5;1;1;1		4	5	5	5	13.6	13.6	13.6	54.71	492	492;255;427;491	0	31.916	174410000	4			+	22	4822;6190;10607;11918;14035	True;True;True;True;True	4885;6280;10757;12085;14263	5734;7388;12858;14426;16977	6444;8292;14473;16250;19061	6444;8292;14473;16250;19061		
CON__P34955	CON__P34955	17	17	17		1	17	17	17	39.2	39.2	39.2	46.103	416	416	0	144.92	13404000000	29			+	23	140;333;2475;6496;6702;8737;10254;11031;11820;12065;12202;12478;13940;16687;17008;19282;20446	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	141;336;2511;6592;6798;8864;10398;11187;11987;12234;12373;12651;14161;16951;17276;19595;20774	157;158;385;2930;7784;8032;10533;12439;13367;13368;14321;14610;14611;14774;15094;16854;16855;20120;20489;23317;23318;24715;24716	172;173;174;430;3318;3319;8756;9033;11883;14000;15060;15061;16131;16450;16451;16629;16982;16983;18924;18925;18926;22561;22972;22973;22974;26159;26160;27740;27741	172;430;3318;8756;9033;11883;14000;15060;16131;16451;16629;16982;18925;22561;22973;26159;27740		
CON__P41361;sp|P01008|ANT3_HUMAN	CON__P41361;sp|P01008|ANT3_HUMAN	2;1	2;1	2;1	;sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1	2	2	2	2	5.8	5.8	5.8	52.347	465	465;464	0	25.391	50321000	4			+	24	4531;18106	True;True	4587;18396	5389;5390;21850;21851	6077;6078;24499;24500	6078;24500		
CON__P81644	CON__P81644	4	4	4		1	4	4	4	36	36	36	11.202	100	100	0	25.515	548680000	2			+	25	6879;9330;18044;18045	True;True;True;True	6977;9466;18334;18335	8245;11241;21781;21782	9272;12684;24426;24427	9272;12684;24426;24427		
CON__Q0IIK2;CON__Q29443;sp|P02788-2|TRFL_HUMAN;tr|E7EQB2|E7EQB2_HUMAN;tr|E7ER44|E7ER44_HUMAN;sp|P02788|TRFL_HUMAN;CON__Q2HJF0;tr|C9JVG0|C9JVG0_HUMAN	CON__Q0IIK2;CON__Q29443	44;43;4;4;4;4;2;1	44;43;4;4;4;4;2;1	42;41;4;4;4;4;1;0	;	8	44	44	42	68	68	65.8	77.738	704	704;685;666;696;708;710;622;134	0	323.31	22231000000	74			+	26	31;859;2010;2080;2121;2146;2718;2755;2991;3063;3611;4272;4418;4627;5047;6027;6040;6764;7182;7726;7727;9491;9948;10005;10078;10079;10145;10156;10528;11436;14324;14325;15758;15824;16966;17044;17172;18102;18122;18283;18382;20228;20233;21082	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	31;872;2037;2108;2149;2174;2757;2794;3033;3107;3658;4327;4473;4683;4684;5116;6115;6128;6861;7284;7837;7838;9629;10091;10149;10222;10223;10289;10300;10678;11595;14558;14559;16005;16072;17233;17234;17312;17443;17444;18392;18412;18575;18680;20551;20556;21417	32;33;1011;1012;2376;2377;2458;2507;2539;3221;3264;3551;3634;4300;4301;5087;5258;5502;5503;6000;7177;7191;8110;8597;9292;9293;9294;11455;12052;12053;12131;12132;12133;12218;12219;12299;12300;12315;12316;12761;13866;13867;17312;17313;19002;19075;20443;20444;20529;20694;20695;21846;21869;22061;22062;22063;22198;24447;24452;24453;25467	34;35;36;1126;1127;1128;1129;2682;2683;2772;2773;2831;2865;3643;3694;4019;4020;4111;4847;4848;4849;4850;5733;5734;5932;6198;6199;6738;8056;8070;8071;9123;9660;10476;10477;10478;10479;10480;10481;12921;13569;13570;13669;13670;13671;13763;13764;13851;13852;13867;13868;14354;15620;15621;15622;15623;19422;19423;21295;21383;22921;22922;22923;22924;23015;23204;23205;23206;23207;24495;24519;24739;24740;24741;24916;27431;27436;27437;28568	35;1129;2683;2773;2831;2865;3643;3694;4020;4111;4849;5734;5932;6199;6738;8056;8071;9123;9660;10476;10480;12921;13569;13670;13763;13764;13851;13868;14354;15621;19422;19423;21295;21383;22924;23015;23205;24495;24519;24741;24916;27431;27437;28568	20;21;22	268;363;487
sp|P07996|TSP1_HUMAN;CON__Q28194	sp|P07996|TSP1_HUMAN;CON__Q28194	2;2	2;2	2;2	sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2;	2	2	2	2	2	2	2	129.38	1170	1170;1170	0	11.749	47712000	1			+	27	15585;17253	True;True	15831;17526	18794;20792	21073;23324	21073;23324		
CON__Q2KJF1	CON__Q2KJF1	6	6	6		1	6	6	6	20.3	20.3	20.3	53.553	503	503	0	45.417	429340000	6			+	28	1202;10701;12143;16480;19420;19439	True;True;True;True;True;True	1219;10852;12313;16737;19733;19752	1424;12969;14705;19873;23476;23498	1600;14594;14595;16552;22285;26338;26360	1600;14595;16552;22285;26338;26360		
CON__Q2UVX4	CON__Q2UVX4	11	11	11		1	11	11	11	10	10	10	187.37	1662	1662	0	77.181	493180000	10			+	29	536;601;5152;7415;7669;8611;17491;17820;17909;18147;18776	True;True;True;True;True;True;True;True;True;True;True	543;609;5223;7520;7780;8731;17770;18106;18198;18438;19082	630;706;6121;8890;9220;10383;21086;21500;21628;21902;22687	701;784;6872;10020;10390;11721;23662;24114;24262;24555;25459	701;784;6872;10020;10390;11721;23662;24114;24262;24555;25459		
sp|P08729|K2C7_HUMAN;CON__Q3KNV1	sp|P08729|K2C7_HUMAN;CON__Q3KNV1	35;35	2;2	2;2	sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5;	2	35	2	2	59.5	6	6	51.385	469	469;469	0	14.19	213760000	2			+	30	365;909;925;1503;4861;4862;4936;5003;5004;5126;5390;6822;6823;9857;10388;10547;10646;11462;11876;11951;12260;12261;13569;14406;14407;14651;15807;16265;16387;16583;17134;17135;18617;19774;20372	False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False	368;923;939;1524;1525;4924;4925;5001;5070;5071;5197;5465;6919;6920;10000;10535;10697;10796;11622;12043;12119;12431;12432;13788;14640;14641;14887;16055;16520;16643;16842;17405;17406;18921;20092;20699	424;1070;1071;1089;1090;1784;1785;5778;5779;5862;5946;5947;5948;5949;6091;6431;8177;8178;11939;11940;12597;12598;12599;12789;12904;13897;14383;14468;14836;14837;14838;16420;17401;17402;17403;17688;19057;19603;19762;19992;20646;20647;20648;22492;23893;23894;24627	472;1196;1197;1217;1218;2022;2023;6496;6497;6588;6679;6680;6681;6682;6683;6684;6685;6840;7220;7221;9196;9197;13448;13449;13450;14173;14174;14175;14176;14402;14524;15654;16201;16295;16700;16701;16702;18438;19514;19515;19516;19835;21363;21364;21983;22160;22161;22415;23151;23152;23153;25242;26796;26797;27645	472;1196;1217;2023;6496;6497;6588;6680;6683;6840;7221;9196;9197;13449;14173;14402;14524;15654;16201;16295;16700;16701;18438;19514;19516;19835;21364;21983;22161;22415;23151;23153;25242;26797;27645	19	271
